Cell Number,X,Y,Z,Cell Flux,Standard Deviation
133,5.00000E+02,-1.00000E+02,0.00000E+00,2.70104E-10,1.24000E-02
134,6.00000E+02,-1.00000E+02,0.00000E+00,3.19655E-10,1.04000E-02
135,7.00000E+02,-1.00000E+02,0.00000E+00,8.70104E-13,1.42400E-01
136,3.00000E+02,0.00000E+00,0.00000E+00,8.68815E-13,1.50300E-01
137,4.00000E+02,0.00000E+00,0.00000E+00,4.57896E-10,9.00000E-03
138,5.00000E+02,0.00000E+00,0.00000E+00,1.07576E-09,6.00000E-03
139,6.00000E+02,0.00000E+00,0.00000E+00,3.89949E-10,9.90000E-03
140,7.00000E+02,0.00000E+00,0.00000E+00,5.99797E-13,2.12800E-01
141,3.00000E+02,1.00000E+02,0.00000E+00,9.80290E-14,2.65200E-01
142,4.00000E+02,1.00000E+02,0.00000E+00,2.65059E-10,1.04000E-02
143,5.00000E+02,1.00000E+02,0.00000E+00,1.90300E-09,4.90000E-03
144,6.00000E+02,1.00000E+02,0.00000E+00,3.71074E-10,9.80000E-03
145,7.00000E+02,1.00000E+02,0.00000E+00,2.27031E-14,4.42600E-01
146,3.00000E+02,2.00000E+02,0.00000E+00,3.45511E-12,9.48000E-02
147,4.00000E+02,2.00000E+02,0.00000E+00,2.30892E-12,9.80000E-02
148,5.00000E+02,2.00000E+02,0.00000E+00,1.20471E-11,4.29000E-02
149,6.00000E+02,2.00000E+02,0.00000E+00,8.03442E-13,1.27200E-01
150,7.00000E+02,2.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
151,-7.00000E+02,3.00000E+02,0.00000E+00,6.62310E-13,1.44000E-01
152,-6.00000E+02,3.00000E+02,0.00000E+00,2.34109E-11,3.14000E-02
153,-5.00000E+02,3.00000E+02,0.00000E+00,3.41157E-11,2.58000E-02
154,-4.00000E+02,3.00000E+02,0.00000E+00,7.81582E-12,5.47000E-02
155,-3.00000E+02,3.00000E+02,0.00000E+00,0.00000E+00,0.00000E+00
156,-7.00000E+02,4.00000E+02,0.00000E+00,4.42525E-11,2.16000E-02
157,-6.00000E+02,4.00000E+02,0.00000E+00,5.74389E-09,2.60000E-03
158,-5.00000E+02,4.00000E+02,0.00000E+00,5.91572E-09,2.60000E-03
159,-4.00000E+02,4.00000E+02,0.00000E+00,1.22843E-09,5.30000E-03
160,-3.00000E+02,4.00000E+02,0.00000E+00,1.47458E-13,2.93000E-01
161,-7.00000E+02,5.00000E+02,0.00000E+00,1.14096E-10,1.41000E-02
162,-6.00000E+02,5.00000E+02,0.00000E+00,1.57589E-08,1.60000E-03
163,-5.00000E+02,5.00000E+02,0.00000E+00,1.53024E-08,1.60000E-03
164,-4.00000E+02,5.00000E+02,0.00000E+00,7.74609E-09,2.30000E-03
165,-3.00000E+02,5.00000E+02,0.00000E+00,3.27651E-11,2.52000E-02
166,-7.00000E+02,6.00000E+02,0.00000E+00,3.96407E-11,2.35000E-02
167,-6.00000E+02,6.00000E+02,0.00000E+00,6.28927E-09,2.50000E-03
168,-5.00000E+02,6.00000E+02,0.00000E+00,8.85885E-09,2.10000E-03
169,-4.00000E+02,6.00000E+02,0.00000E+00,3.87646E-09,3.20000E-03
170,-3.00000E+02,6.00000E+02,0.00000E+00,2.51223E-11,3.09000E-02
